username,password,email,full_name,address,phone_number,role
admin_john,admin123,john.admin@gym.com,John Evans,"101 Water St, St. John's, NL A1C 1A6",7091234567,admin
admin_sue,admin123,sue.admin@gym.com,Sue Hayes,"202 Duckworth St, St. John's, NL A1C 1G5",7092345678,admin
trainer_anna,train123,anna.trainer@gym.com,Anna Patel,"303 George St, St. John's, NL A1C 1W8",7093456789,trainer
trainer_bob,train123,bob.trainer@gym.com,Bob Lopez,"404 Signal Hill Rd, St. John's, NL A1C 5H2",7094567890,trainer
trainer_lisa,train123,lisa.trainer@gym.com,Lisa Garcia,"505 Topsail Rd, St. John's, NL A1E 2C2",7095678901,trainer
member_mike,pass123,mike.member@gym.com,Mike Hayes,"606 Kenmount Rd, St. John's, NL A1B 3R2",7096789012,member
member_nina,pass123,nina.member@gym.com,Nina Anderson,"707 Lemarchant Rd, St. John's, NL A1C 2H1",7097890123,member
member_raj,pass123,raj.member@gym.com,Raj Iverson,"808 Freshwater Rd, St. John's, NL A1B 1C2",7098901234,member
member_zoe,pass123,zoe.member@gym.com,Zoe Hayes,"909 Empire Ave, St. John's, NL A1E 1W5",7099012345,member
member_omar,pass123,omar.member@gym.com,Omar Anderson,"111 Blackmarsh Rd, St. John's, NL A1E 1T1",7099123456,member
member_li,pass123,li.member@gym.com,Li Garcia,"121 Portugal Cove Rd, St. John's, NL A1A 4Y5",7099234567,member
member_ivy,pass123,ivy.member@gym.com,Ivy Campbell,"131 Pennywell Rd, St. John's, NL A1C 2L3",7099345678,member
member_hugo,pass123,hugo.member@gym.com,Hugo Kumar,"141 Ropewalk Ln, St. John's, NL A1E 5T2",7099456789,member
member_clara,pass123,clara.member@gym.com,Clara Anderson,"151 Newtown Rd, St. John's, NL A1C 3J9",7099567890,member
member_ella,pass123,ella.member@gym.com,Ella Kumar,"161 Airport Heights Dr, St. John's, NL A1A 4Z7",7099678901,member
